,perid,tournament_perid,datetime,fmt,box,forfeit,loser,loser_score,winner,winner_score,date
27799,esports:match:c76a8a07-bcd6-4fd8-a9a6-25588fcb541d,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-03 18:00:00+00:00,bestOf,1,0,Into The Breach,0.0, iNation,1.0,2022-06-03
28235,esports:match:a6b935c6-858b-40b4-a189-8a6508ed156c,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-03 18:00:00+00:00,bestOf,1,0,NeverFpl5,0.0,B8,1.0,2022-06-03
28217,esports:match:6d4247e1-06f6-4b19-acf2-2ea18266f48f,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-03 01:00:00+00:00,bestOf,1,0,Take Flyte,0.0,Counter Nature,1.0,2022-06-03
28210,esports:match:865ec8c9-c42e-4695-b9fd-2b9151061a51,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-03 01:00:00+00:00,bestOf,1,0,Team Redux,0.0,Luxxury Esports NA,1.0,2022-06-03
28022,esports:match:5df9bfff-7efd-485f-8f77-3364c19696f1,esports:tournament:ed011298-a5cb-4447-a667-b578c116fe46,2022-06-03 00:00:00+00:00,bestOf,3,0,Axolotls,1.0,MIBR,2.0,2022-06-03
28148,esports:match:980e2755-eca5-4acf-966f-90931a70d8f2,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-03 18:00:00+00:00,bestOf,1,0,Lilmix,0.0,BIG Academy,1.0,2022-06-03
28152,esports:match:feeb0abb-680f-42e7-83cb-d7c8ee908850,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-03 14:00:00+00:00,bestOf,1,0,Apeks,0.0,Wolsung,1.0,2022-06-03
28159,esports:match:65e10d6c-93eb-4d3c-b5f3-382595b2c166,esports:tournament:ed011298-a5cb-4447-a667-b578c116fe46,2022-06-03 00:00:00+00:00,bestOf,3,0,Unjustified Gaming,0.0,ATK,2.0,2022-06-03
28241,esports:match:fbdc1608-44f1-49f4-8e08-55c77f24741f,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-03 01:30:00+00:00,bestOf,1,0,Tempest Gaming,0.0,sinister,1.0,2022-06-03
28243,esports:match:4e283c7d-19ca-4c7f-88e7-f6409b44b7da,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-03 02:00:00+00:00,bestOf,1,0,Hyperspace Dark,0.0,Arctic Ace,1.0,2022-06-03
27732,esports:match:a3741231-d0dd-452b-965f-a3d4c155400c,esports:tournament:d18c49c6-179f-4e7d-b7ff-d28494d2ed0a,2022-06-03 18:00:00+00:00,bestOf,3,0,G2 Esports,1.0,FURIA Esports,2.0,2022-06-03
27824,esports:match:59a1fd81-e417-46d0-b528-60741273c2e5,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-03 18:00:00+00:00,bestOf,1,0,Infinite Gaming,0.0,Enterprise,1.0,2022-06-03
28156,esports:match:b8b2c791-d26b-4337-ae3e-b1c0d9eed067,esports:tournament:296470fb-99d1-4bfd-87f9-92c4586bb536,2022-06-03 16:00:00+00:00,bestOf,1,0,Mindfreak,0.0,CLG Red,1.0,2022-06-03
27755,esports:match:2bd5bbbf-a822-4824-a6fb-f0f4ed624516,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-03 01:00:00+00:00,bestOf,1,0, Revel,0.0,DYLOO,1.0,2022-06-03
27588,esports:match:8aa541a7-5e7c-4719-8e89-ea940ec6ba5d,esports:tournament:4db3c4b0-0a45-4ff3-bb31-b72af96c833a,2022-06-03 19:30:00+00:00,bestOf,1,0,Onyx Esports,0.0,Cryptova,1.0,2022-06-03
28181,esports:match:217f1242-77f9-44f1-909e-2d4bd0e8b8ab,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-03 16:00:00+00:00,bestOf,1,0,sC e-Sports,0.0,FATE Esports,1.0,2022-06-03
28208,esports:match:be3a5b21-68b6-4b2c-8de4-46a125ed94af,esports:tournament:860cd376-6700-4567-84de-0bf8d40889d2,2022-06-03 01:00:00+00:00,bestOf,1,0,UGK Esports,0.0,Earlybirds,1.0,2022-06-03
